sid,proj_id,run_id,samp_id,strat,tech,body_subsite,subject_id,body_site,body_subsite_int,body_site_int,nreads,nreads_unmapped,primer,n_otus
SRR044623.SRS018995,SRP002395,SRR044623,SRS018995,METAGENOMIC ,AMPLICON,Throat,241778,Oral,9,2,9989,4095,V13/V35,134
SRR046457.SRS044477,SRP002395,SRR046457,SRS044477,METAGENOMIC ,AMPLICON,Right Retroauricular crease,241869,Skin,14,3,12450,10652,V13/V35,22
SRR043598.SRS014279,SRP002395,SRR043598,SRS014279,METAGENOMIC ,AMPLICON,Palatine Tonsils,241825,Oral,5,2,12872,5801,V13/V35,125
SRR041301.SRS024633,SRP002395,SRR041301,SRS024633,METAGENOMIC ,AMPLICON,Saliva,241705,Oral,6,2,5269,2137,V3-V5,122
SRR328613.SRS062975,SRP002860,SRR328613,SRS062975,METAGENOMIC ,AMPLICON,Left Retroauricular crease,257121,Skin,12,3,15722,9579,V13/V35,38
SRR041896.SRS016877,SRP002395,SRR041896,SRS016877,METAGENOMIC ,AMPLICON,Supragingival plaque,241745,Oral,8,2,7577,3608,V3-V5,110
SRR046528.SRS014970,SRP002395,SRR046528,SRS014970,METAGENOMIC ,AMPLICON,Right Retroauricular crease,241727,Skin,14,3,3990,866,V13/V35,29
SRR048521.SRS056749,SRP002395,SRR048521,SRS056749,METAGENOMIC ,AMPLICON,Buccal mucosa,241671,Oral,3,2,7784,3782,V13/V35,98
SRR045519.SRS057813,SRP002395,SRR045519,SRS057813,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,241825,Oral,2,2,8205,3503,V13/V35,74
SRR045967.SRS018850,SRP002395,SRR045967,SRS018850,METAGENOMIC ,AMPLICON,Palatine Tonsils,241716,Oral,5,2,10150,4455,V13/V35,86
SRR041077.SRS016517,SRP002395,SRR041077,SRS016517,METAGENOMIC ,AMPLICON,Stool,241831,Gastrointestinal tract,1,1,4079,2044,V3-V5,50
SRR172542.SRS143253,SRP002860,SRR172542,SRS143253,METAGENOMIC ,AMPLICON,Tongue dorsum,257130,Oral,10,2,3437,2080,V13/V35,45
